"Name","Url"
"|PT| EUROSPORT NEWS HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2325"
"|ES| BEIN SPORTS ESPANAA FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10314"
"|ES| EUROSPORT 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3222"
"|ES| EUROSPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3221"
"|DE| DAZN BAR 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/11018"
"|DE| DAZN BAR 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/11017"
"|DE| EUROSPORT 2 XTRA HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/11133"
"|DE| EUROSPORT 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/11132"
"|DE| EUROSPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/11029"
"|UK|| TNT SPORT ESPN FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/9883"
"|UK|| TNT SPORT 2 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/9885"
"|UK|| TNT SPORT 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/9886"
"|UK| BEIN SPORTS 1 (ENGLISH) HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4156"
"|UK| TNT SPORT 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4198"
"|UK| TNT SPORT 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4199"
"|UK| TNT SPORT 2 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4195"
"|UK| TNT SPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4196"
"|UK| TNT SPORT 3 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4193"
"|UK| TNT SPORT 3 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4194"
"|UK| TNT SPORT ESPN FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4191"
"|UK| TNT SPORT ESPN HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4192"
"|UK| TNT SPORT EXTRA 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4225"
"|UK| TNT SPORT EXTRA 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4224"
"|UK| TNT SPORT EXTRA 3 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4223"
"|UK| TNT SPORT EXTRA 4 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4222"
"|UK| EUROSPORT 2 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4172"
"|UK| EUROSPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4173"
"|UK| SKY SPORTS FOOTBALL FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4211"
"|UK| SKY SPORTS FOOTBALL HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4212"
"|UK| SKY SPORTS MAIN EVENT FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4215"
"|UK| SKY SPORTS MAIN EVENT HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4216"
"|UK| USA|FOX SPORTS 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4158"
"|UK| USA|FOX SPORTS 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4159"
"|UK| USA|FOX SPORTS 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4157"
"|USA| ESPN 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/5398"
"|USA| ESPN 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/5399"
"|USA| ESPN 3 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/5400"
"|USA| ESPN U HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/5402"
"|TR| BEIN SPORTS MAX 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10031"
"|TR| BEIN SPORTS MAX 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10032"
"|TR| BEIN SPORTS MAX 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10029"
"|TR| BEIN SPORTS MAX 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10030"
"|TR| EUROSPORT 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10027"
